s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,w_tr_right_m,w_tr_left_m
48.387564,34.950000,3.870000,1.570796,0.000000,3.726941,5.021455,1.150000,1.150000
48.587564,34.950000,4.070000,1.570796,0.000000,3.987313,4.981176,1.150000,1.150000
48.787564,34.950000,4.270000,1.570796,0.000000,4.229792,-2.364180,1.150000,1.150000
48.987564,34.950000,4.470000,1.570796,0.000000,4.116487,-12.241621,1.150000,1.150000
49.187564,34.950000,4.670000,1.570796,0.000000,3.471141,-12.144207,1.150000,1.150000
49.387564,34.950000,4.870000,1.570796,0.000000,2.681629,-6.439036,1.117300,1.117300
49.587564,34.950000,5.070000,1.325818,-1.224893,2.148377,-0.094623,1.100000,1.100000
49.793719,35.000000,5.270000,0.785398,-2.621420,2.139550,-0.091798,1.104300,1.104300
50.076562,35.200000,5.470000,0.785398,0.000000,2.130686,0.133818,0.900000,0.900000
50.359405,35.400000,5.670000,1.325818,1.910671,2.148377,-0.066909,0.726200,0.726200
50.565560,35.450000,5.870000,0.785398,-2.621420,2.139550,-0.091798,0.727800,0.727800
50.848402,35.650000,6.070000,1.107149,1.137560,2.130686,5.208961,0.727800,0.727800
51.072009,35.750000,6.270000,1.107149,0.000000,2.736139,-5.356653,0.740600,0.740600
51.295616,35.850000,6.470000,1.325818,0.977917,2.256300,-0.093350,0.801500,0.801500
51.501771,35.900000,6.670000,1.815775,2.376642,2.247029,-0.101253,0.850000,0.850000
51.707927,35.850000,6.870000,2.034444,1.060700,2.237720,5.199584,0.801500,0.801500
51.931533,35.750000,7.070000,2.034444,0.000000,2.674180,5.156593,0.740600,0.740600
52.155140,35.650000,7.270000,2.034444,-0.000000,3.075278,0.335365,0.740600,0.740600
52.378747,35.550000,7.470000,2.214297,0.804329,3.099567,-2.848698,0.732600,0.732600
52.628747,35.400000,7.670000,2.356194,0.567588,2.886752,-7.249193,0.813100,0.813100
52.911590,35.200000,7.870000,2.214297,-0.501682,2.169963,-0.082634,0.980800,0.980800
53.161590,35.050000,8.070000,1.570796,-2.574004,2.159166,-0.093489,1.150000,1.150000
53.361590,35.050000,8.270000,1.570796,0.000000,2.148314,5.207448,1.150000,1.150000
53.561590,35.050000,8.470000,1.570796,0.000000,2.588094,5.165677,1.150000,1.150000
53.761590,35.050000,8.670000,1.570796,0.000000,2.960490,2.580674,1.150000,1.150000
53.961590,35.050000,8.870000,1.325818,-1.224893,3.129979,-0.196459,1.150000,1.150000
54.167745,35.100000,9.070000,1.570796,1.188321,3.117401,0.256789,1.150000,1.150000
54.367745,35.100000,9.270000,1.570796,0.000000,3.134336,5.102993,1.150000,1.150000
54.567745,35.100000,9.470000,1.570796,0.000000,3.444599,5.062060,1.150000,1.150000
54.767745,35.100000,9.670000,1.570796,0.000000,3.726941,5.021455,1.150000,1.150000
54.967745,35.100000,9.870000,1.570796,0.000000,3.987313,4.981176,1.150000,1.150000
55.167745,35.100000,10.070000,1.570796,0.000000,4.229792,4.941220,1.150000,1.150000
55.367745,35.100000,10.270000,1.570796,0.000000,4.457312,4.901585,1.150000,1.150000
55.567745,35.100000,10.470000,1.570796,0.000000,4.672072,4.862267,1.150000,1.150000
55.767745,35.100000,10.670000,1.570796,0.000000,4.875774,4.823265,1.150000,1.150000
55.967745,35.100000,10.870000,1.570796,0.000000,5.069761,4.784576,1.150000,1.150000
56.167745,35.100000,11.070000,1.570796,0.000000,5.255122,-7.463948,1.150000,1.150000
56.367745,35.100000,11.270000,1.570796,0.000000,4.962935,-12.394510,1.150000,1.150000
56.567745,35.100000,11.470000,1.570796,0.000000,4.435417,-12.295880,1.150000,1.150000
56.767745,35.100000,11.670000,1.570796,0.000000,3.841168,-12.198035,1.109700,1.109700
56.967745,35.100000,11.870000,1.570796,0.000000,3.142508,-0.196459,1.100000,1.100000
57.167745,35.100000,12.070000,1.325818,-1.224893,3.129979,-0.196459,1.100000,1.100000
57.373900,35.150000,12.270000,1.570796,1.188321,3.117401,0.256789,1.150000,1.150000
57.573900,35.150000,12.470000,1.570796,0.000000,3.134336,5.102993,1.150000,1.150000
57.773900,35.150000,12.670000,1.570796,0.000000,3.444599,5.062060,1.150000,1.150000
57.973900,35.150000,12.870000,1.570796,0.000000,3.726941,5.021455,1.150000,1.150000
58.173900,35.150000,13.070000,1.570796,0.000000,3.987313,4.981176,1.126900,1.126900
58.373900,35.150000,13.270000,1.570796,0.000000,4.229792,-7.841424,1.101100,1.101100
58.573900,35.150000,13.470000,1.570796,0.000000,3.841168,-12.198035,1.100000,1.100000
58.773900,35.150000,13.670000,1.570796,0.000000,3.142508,-0.196459,1.100000,1.100000
58.973900,35.150000,13.870000,1.325818,-1.224893,3.129979,-0.196459,1.100000,1.100000
59.180056,35.200000,14.070000,1.570796,1.188321,3.117401,0.256789,1.126900,1.126900
59.380056,35.200000,14.270000,1.570796,0.000000,3.134336,5.102993,1.117300,1.117300
59.580056,35.200000,14.470000,1.570796,0.000000,3.444599,-4.974767,1.100000,1.100000
59.780056,35.200000,14.670000,1.570796,0.000000,3.142508,-0.196459,1.117300,1.117300
59.980056,35.200000,14.870000,1.325818,-1.224893,3.129979,-0.196459,1.109700,1.109700
60.186211,35.250000,15.070000,1.570796,1.188321,3.117401,0.190594,1.100000,1.100000
